Ronda,Equipo1,Cant.Goles1,Cant.Goles2,Equipo2,idPartido
1,Argentina,1,2,Arabia Saudita,1
1,Polonia,0,0,Mexico,2
2,Argentina,2,0,México,3
2,Arabia Saudita,0,2,Polonia,4
